year_num,tm,attend_g,est_payroll,w,l
2019,MIA,10016,74683643,57,105
2019,MIL,36091,128842900,89,73
2019,MIN,28436,113758333,101,61
2019,NYM,30155,154837230,86,76
2019,NYY,40795,228442421,103,59
2019,OAK,20626,102935833,97,65
2019,PHI,33672,141786962,81,81
2019,PIT,18413,72915501,69,93
2019,SDP,29585,90260767,70,92
2019,SEA,22112,126874600,68,94
2019,SFG,33429,175550753,77,85
2019,STL,42968,161120267,91,71
2019,TBR,14552,56071767,96,66
2019,TEX,26333,104433499,78,84
2019,TOR,21607,64680671,67,95
2019,WSN,27899,203016595,93,69
